Location,Lesson,Index,Question,Explain,Choice_01,Choice_02,Choice_03,Choice_04,Answer,Commentary
Hotel,1,1,다음 문장의 번역으로 알맞은 것을 고르시오.,어서오세요!,对不起!,再见!,欢迎光临!,没关系!,3,"欢迎光临! huānyíngguānglín! 어서오세요, 환영합니다."
Hotel,1,2,다음 단어의 번역으로 알맞은 것을 고르시오.,1인실,预订,单人间,出事,房间,2,单人间 dānrénjiān 1인실
Hotel,1,3,다음 단어의 한어병음으로 알맞은 것을 고르시오.,出事,shǒujī ,chūshǐ,chūkǒu,chūshì ,4,"出事 chūshì 제시하다, 내보이다"
Hotel,1,4,다음 단어의 한어병음으로 알맞은 것을 고르시오.,预订,lǐyí,yùyán,yùdìng,yùliào,3,预订 yùdìng 예약하다
Hotel,1,5,다음 빈칸의 내용으로 알맞은 것을 고르시오.,昨天已经 ( ) 预订了房间。,打电话,发短信,书面形式,口头,1,打电话 dǎdiànhuà 전화를 걸다\n昨天已经打电话预订了房间。어제 전화로 방을 예약했습니다.
Hotel,1,6,다음 빈칸의 내용으로 알맞은 것을 고르시오.,这是——， 请您那好。,咖啡,房间,车钥匙,房卡,4,房卡 fángkǎ 방 키\n这是房卡， 请您那好。여기 방 키입니다. 받으세요.
Hotel,1,7,다음 빈칸의 내용으로 알맞은 것을 고르시오.,请——您的护照。,抢走,出示,拿走,扔,2,"出事 chūshì 제시하다, 내보이다\n请出示您的护照。여권을 주십시오."
Hotel,2,1,다음 단어의 번역으로 알맞은 것을 고르시오.,스탠다드룸,标准间,套房,单人间,双人间,1,标准间 biāozhǔnjiàn 스탠다드룸
Hotel,2,2,다음 단어의 번역으로 알맞은 것을 고르시오.,"차다, 가득하다",空,满,枯瘠,溢出,2,"满 mǎn 차다, 가득하다"
Hotel,2,3,다음 문장의 한어병음으로 알맞은 것을 고르시오.,请稍等。,qǐngshāoděng,qǐngchūqu,qǐngzuò,qǐngshàngqù,1,请稍等。qǐngshāoděng 잠시만 기다려주세요.
Hotel,2,4,다음 문장의 한어병음으로 알맞은 것을 고르시오.,没有。,zìyóu,suǒyǒu,méiyǒu,yōngyǒu,3,没有。méiyǒu 아니요.
Hotel,2,5,다음 빈칸의 내용으로 알맞은 것을 고르시오.,——您有预订吗？,请,兴许,假使,请问,4,请问 qǐngwèn 실례합니다.
Hotel,2,6,다음 빈칸의 내용으로 알맞은 것을 고르시오.,550快——。,一周,二天,一天,二周,3,550快一天。하루에 550위안입니다.
Hotel,2,7,다음 빈칸의 내용으로 알맞은 것을 고르시오.,那——我一个标准间吧。,领,给,不给,推,2,那给我一个标准间吧。그럼 스탠다드룸 하나 주세요.
Hotel,3,1,다음 단어의 번역으로 알맞은 것을 고르시오.,직접,亲自,间接,教唆,推迟,1,"亲自 qīnzì 몸소, 직접, 친히"
Hotel,3,2,다음 단어의 번역으로 알맞은 것을 고르시오.,확인하다,验收,传球,核对,确认,4,确认 quèrèn 확인하다
Hotel,3,3,다음 단어의 한어병음으로 알맞은 것을 고르시오.,姓,xìng,xíng ,xīn ,xìn ,1,姓 xìng 성
Hotel,3,4,다음 단어의 한어병음으로 알맞은 것을 고르시오.,订,dīng,dì ,dìng ,dǐng ,3,"订 dìng (계획, 규정 등을) 세우다, 체결하다, 맺다"
Hotel,3,5,다음 빈칸의 내용으로 알맞은 것을 고르시오.,请您——确认一下。,好,再,仔细,没,2,"再 zài 재차, 또\n请您再确认一下。다시 한 번 확인해주세요."
Hotel,3,6,다음 빈칸의 내용으로 알맞은 것을 고르시오.,是您——预订的吗？,错,昨天,电话,亲自,4,"亲自 qīnzì 몸소, 직접, 친히\n是您亲自预订的吗？직접 예약하셨나요?"
Hotel,3,7,다음 빈칸의 내용으로 알맞은 것을 고르시오.,怎么会没有——？,记录,痕迹,相片,文档,1,"记录 jìlù 적다, 기록하다\n怎么会没有记录？왜 예약이 안 되어 있죠?"
