Location,Lesson,Index,Question,Explain,Answer,Korean,Commentary,FileName,RecordIndex
Hotel,01,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"金晙星上周预订了房间。",X,김준성은 저번 주에 방을 예약했다,"金晙星: 昨天已经打电话预订了房间。\n어제 전화로 방을 예약했습니다.",hotel_lesson_01,37
Hotel,01,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"金晙星预订了双人间。",X,김준성은 2인실을 예약했다.,"服务员：一个单人间，对吗？\n金晙星 : 是的。\n- 1인실 하나 맞으신가요?\n- 그렇습니다.",hotel_lesson_01,
Hotel,01,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"金晙星将停留两天。",O,김준성은 이틀간 머무를 것이다. ,"服务员：请问您住几天？\n金晙星 : 两天。\n- 며칠 간 묵으실 건가요?\n- 이틀이요.",hotel_lesson_01,
Hotel,02,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男人预订了标准间。",X,남자는 스탠다드룸을 예약했다.,"- 那给我一个标准间吧。\n- 好的。\n- 그럼, 스탠다드룸으로 하나 주세요.\n- 알겠습니다.",hotel_lesson_02,40
Hotel,02,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男子没有提前预订房间。",O,남자는 방을 미리 예약하지 않았다.,"- 请问您有预定吗？\n- 没有。\n- 예약하셨나요?\n- 아니요.",hotel_lesson_02,
Hotel,02,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"标准间一天五百六十元。",X,스탠다드룸은 하루에 560위안이다.,"- 标准间多少钱一天？\n- 550块一天。\n-스탠다드룸은 하루에 얼마인가요?\n-550위안입니다.",hotel_lesson_02,
Hotel,03,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男子预订了双人间。",X,남자는 2인실을 예약했다.,"我预订了一个单人间。\n- 1인실을 하나 예약했습니다.",hotel_lesson_03,43
Hotel,03,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"昨天中午男人预订了房间。",X,남자는 어제 정오에 방을 예약했다.,"我昨天晚上预订的。\n-저는 어제 저녁에 예약했습니다.",hotel_lesson_03,
Hotel,03,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男子叫金俊成，亲自预订了房间。",O,"남자의 이름은 김준성으로, 직접 방을 예약했다.","是您亲自预订的吗？\n是的。我叫金唆星，订了一个单人间。\n-직접 예약하셨나요?\n-네, 김준성으로 1인실 하나를 예약했습니다.",hotel_lesson_03,
Hotel,04,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男子住在1266号。",X,남자는 1266호에 묵고 있다.,"- 1206号房间。\n- 1206호입니다.",hotel_lesson_04,45
Hotel,04,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男子在早上6点申请了叫醒电话。",O,남자는 아침 6시 모닝콜 서비스를 신청했다.,"- 1206号房间，我们会在明天早上 6点准时叫醒您。\n- 1206호로, 아침 6시에 모닝콜 서비스 해드리겠습니다.",hotel_lesson_04,
Hotel,04,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"女子是客房清扫夫 。",X,여자는 객실 청소부다.,"您好，总服务台。\n-안녕하세요, 프론트입니다.",hotel_lesson_04,
Hotel,05,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男子想把美元兑换成人民币",O,남자는 달러를 인민폐로 바꾸려 한다.,"- 我想把美元换成人民币。\n- 달러를 인민폐로 바꾸려고 합니다.",hotel_lesson_05,48
Hotel,05,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"这里, 可以不用证明就换钱。",X,이곳에선 신분증명 없이 환전이 가능하다.,"- 请问这儿可以换钱吗?\n- 可以，但是需要出示证明。\n- 여기서 환전할 수 있나요?\n- 네, 그런데 신분 증명이 필요합니다.",hotel_lesson_05,
Hotel,05,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"今天的汇率是7.75。",X,오늘 환율은 7.75이다.,"- 今天的汇率是多少？\n- 7.95。\n- 那给我换1000美元吧。\n- 오늘 환율이 어떻게 되나요?\n- 7.95입니다.G21\n- 그럼 여기 1,000달러 환전해주세요.",hotel_lesson_05,
Hotel,06,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"住宿费共计一千六百元。",O,"숙박비는 모두 1,600 위안이다.","- 一共一千六百块人民币。\n숙박비는 모두 1,600위안입니다.",hotel_lesson_06,51
Hotel,06,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男子支付了现金。",X,남자는 현금으로 숙박비를 지불했다.,"- 可以用信用卡支付吗？\n- 当然可以。\n- 给您。\n- 신용카드로 지불할 수 있나요?\n- 물론입니다.\n- 여기 있습니다.",hotel_lesson_06,
Hotel,06,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"在结账前，服务员检查了房间。",O,"숙박비 계산 전, 호텔 직원이 방을 확인했다. ","服务员在检查您的房间， 可以了。\n저희 직원이 방을 체크하고 있습니다. 다 됐습니다. ",hotel_lesson_06,
Hotel,07,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男子支付的总金额是1200元。",O,"남자가 지불해야 할 금액은 1,200위안이다.","- 一共是1200块钱。\n- 모두 1,200위안입니다.",hotel_lesson_07,53
Hotel,07,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"男子用信用卡算。",X,남자는 신용카드로 계산했다.,"대화 중 남자가 계산하는 내용은 없다.",hotel_lesson_07,
Hotel,07,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"服务费是按5%收取。",O,서비스차지는 5% 부과된다.,"- 这项是我们的服务费，按5%收取。\n- 이 항목은 서비스차지고, 5% 부과됩니다.",hotel_lesson_07,
Hotel,08,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他们点预想肉丝和麻婆豆腐。",O,그들은 위샹로우쓰와 마파두부를 주문했다.,"그들은 사천지역의 특색요리인 위썅로우쓰와 마파두부를 주문했다.",hotel_lesson_08,56
Hotel,08,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他们是四个人",X,그들은 네사람이다.,"그들은 두사람이다. ",hotel_lesson_08,56
Hotel,08,03,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他们不喜欢辣菜",X,그들은 매운음식을 좋아하지 않는다.,"그들은 모두 매운것을 좋아한다. ",hotel_lesson_08,56
Airport,01,01,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"他想买一张9月5号到韩国的飞机票。",X,그는 9월5일날 한국에 가는 비행기표를 구입하려고 한다. ,"그는 8월5일날 한국에 가는 비행기표를 구입하려고 한다. ",airport_lesson_01,68
Airport,01,02,녹음내용을 듣고 다음 문장의 옳고 그름을 판단해 보세요.,"有下午的航班。",X,오후비행편이 있다.,"오전비행편이 있다. /오후 비행편은 나와있지 않다.",airport_lesson_01,68
