Location,Lesson,Type,Index,Chinese,Pinyin,Korean,FileName,Extension,Remark
Hotel,1,회화,1,欢迎光临！,Huānyíng guānglín！,환영합니다!,hotel_lesson_01_conv_01,,Lesson 1 = 교과서 Lesson 13
Hotel,1,회화,2,您好！我叫金唆星。昨天已经打电话预订了房间。,Nín hǎo! Wǒ jiào jīn jùn xīng.\nZuótiān yǐjīng dǎdiànhuà yùdìng le fángjiān.,안녕하세요. 저는 김준성이라고 합니다. 어제 전화로 방을 예약했는데요.,hotel_lesson_01_conv_02,,글씨는 해석이 부자연스러워요.
Hotel,1,회화,3,请稍等，我帮您查一下。金唆星先生，一个单人间，对吗？,Qǐng shāo děng，Wǒ bāng nín chá yí xià.\nJīn jùn xīng xiān sheng，yí ge dānrénjiàn，duìma?,잠시만 기다려주세요. 제가 찾아보겠습니다. 김준성 선생님 1인실 맞으신가요?,hotel_lesson_01_conv_03,,
Hotel,1,회화,4,是的。,Shì de.,네 맞습니다.,hotel_lesson_01_conv_04,,
Hotel,1,회화,5,请出示您的护照。请问您住几天？,Qǐng chūshì nín de hùzhào。\nQǐngwèn nín zhù jǐ tiān?,여권주시고요. 며칠 간 묵으실 건가요?,hotel_lesson_01_conv_05,,
Hotel,1,회화,6,两天。,Liǎngtiān.,이틀이요.,hotel_lesson_01_conv_06,,
Hotel,1,회화,7,"1206号房间, 这是房卡，请您拿好。","Yāo-èr-líng-liù hào fángjiān, zhè shì fángkǎ, qǐng nín ná hǎo.","네, 1206호 방입니다. 여기 방 키 입니다, 받아주세요.",hotel_lesson_01_conv_07,,
Hotel,1,회화,8,谢i射！,Xièxie!,감사합니다.,hotel_lesson_01_conv_08,,
Hotel,1,단어,1,光临,guānglín,(높임말)광림(光临)하다. 왕림(枉临)하다. 내림(来临)하다.,hotel_lesson_01_word_01,,
Hotel,1,단어,2,打电话,dǎdiànhuà,전화를 걸다,hotel_lesson_01_word_02,,
Hotel,1,단어,3,预订,yùdìng,예약하다,hotel_lesson_01_word_03,,
Hotel,1,단어,4,房间,fángjiān,방(房),hotel_lesson_01_word_04,,
Hotel,1,단어,5,稍,shāo,"약간(若干), 조금. 얼마쯤, 다소",hotel_lesson_01_word_05,,
Hotel,1,단어,6,帮,bāng,돕다. 거들다,hotel_lesson_01_word_06,,
Hotel,1,단어,7,查,chá,점검(點檢)하다. 검사(檢査)하다,hotel_lesson_01_word_07,,
Hotel,1,단어,8,单人间,dānrénjiān,1인실,hotel_lesson_01_word_08,,
Hotel,1,단어,9,出示,chūshì,제시하다. 내보이다,hotel_lesson_01_word_09,,
Hotel,1,단어,10,住,zhù,거주(居住)하다. 살다. 묵다,hotel_lesson_01_word_10,,
Hotel,2,회화,1,您好！我想要一个单人间。,Nín hǎo! \nWǒ xiǎng yào yí ge dānrénjiān.,안녕하세요! 1인실 하나 주시겠어요.,hotel_lesson_02_conv_01,,
Hotel,2,회화,2,请问您有预定吗？,Qǐngwèn nín yǒu yùdìng ma?,예약하셨나요?,hotel_lesson_02_conv_02,,
Hotel,2,회화,3,没有。,Méiyǒu.,아니요.,hotel_lesson_02_conv_03,,
Hotel,2,회화,4,请稍等。对不起，单人间都住满了，现在只有标准间。,Qǐng shāo děng. Duìbuqǐ，dānrénjiàn dōu zhù mǎn le，\n xiànzài zhǐyǒu biāozhǔnjiàn.,"잠시만 기다려주세요. 죄송합니다. 지금 1인실은 다 찼고, 스탠다드룸만 남았습니다.",hotel_lesson_02_conv_04,,
Hotel,2,회화,5,标准间多少钱一天？,Biāozhǔnjiān duōshao qián yì tiān？,스탠다드룸은 하루에 얼마인가요?,hotel_lesson_02_conv_05,,
Hotel,2,회화,6,550块一天。,Wǔbǎi wǔshi kuài yì tiān.,550위안입니다.,hotel_lesson_02_conv_06,,
Hotel,2,회화,7,那给我一个标准间吧。,Nà gěi wǒ yí ge biāozhǔnjiān ba.,그럼，스탠다드룸으로 하나 주세요.,hotel_lesson_02_conv_07,,
Hotel,2,회화,8,好的。,Hǎo de.,알겠습니다.,hotel_lesson_02_conv_08,,
